XData,YData,ID,IsCentroid
713539.430765,5006861.53614,67328,0
713802.376953,5007426.17685,67340,0
713615.226786,5007433.73384,67341,0
714093.281211,5006781.54356,67352,0
714064.325741,5006873.62756,67353,0
713145.722042,5007456.85711,67358,0
713195.088077,5007451.4889,67359,0
713340.567475,5007465.19445,67363,0
713518.507775,5007121.07725,67364,0
714196.746089,5006943.91556,67377,0
714246.389304,5006855.54751,67378,0
713956.312684,5007275.03887,67395,0
713333.804791,5006767.92637,67407,0
713526.120704,5007487.45242,67410,0
713532.328081,5007499.88488,67411,0
713899.48256,5007204.63183,67417,0
713953.774982,5007422.73976,67431,0
713913.9722,5007419.02933,67432,0
714055.584526,5007435.14533,67465,0
713109.854715,5007166.88377,67472,0
713521.706672,5007478.40644,67475,0
713621.155282,5006886.92311,67476,0
713557.614228,5006870.29649,67477,0
713630.0953,5006705.13469,67478,0
713791.476868,5006964.78009,67483,0
713798.188306,5006945.8601,67484,0
713815.597769,5007159.1103,67486,0
713455.697036,5007313.901,67509,0
713937.550141,5007117.58662,67552,0
713982.625954,5007030.32582,67553,0
713489.760653,5007399.47917,67591,0
713929.879141,5007470.44352,67603,0
713093.498815,5007387.37574,67622,0
713192.526742,5007383.32472,67623,0
714085.370048,5006619.31192,67633,0
714101.946066,5006624.59107,67634,0
713479.548089,5007305.71362,67647,0
713339.773377,5007189.46463,67648,0
713414.653104,5007195.23477,67649,0
713354.741545,5006581.5871,67662,0
713278.264002,5006570.66,67663,0
713409.371837,5006545.96332,67664,0
713406.436167,5006533.63697,67665,0
713727.995064,5006798.15757,67668,0
713700.275168,5006820.65482,67669,0
713791.958314,5007162.92996,67670,0
713817.512551,5006733.22648,67672,0
713825.945678,5006710.44761,67673,0
713935.716723,5007251.06087,67677,0
713412.464808,5006751.82326,67688,0
713442.85689,5006745.05784,67689,0
713668.70603,5007125.50422,67692,0
714073.823871,5007187.62534,67695,0
714016.029525,5006759.42962,67696,0
713922.934307,5006732.5778,67697,0
714114.169297,5006719.24648,67714,0
713370.648789,5006803.49328,67734,0
713406.887299,5006831.00486,67735,0
713213.827838,5006649.68011,67742,0
713148.242537,5006560.80329,67743,0
713260.703812,5007475.46199,67744,0
713229.85281,5007530.86764,67745,0
713432.347094,5006649.28319,67747,0
713501.479521,5006697.13916,67749,0
713636.931654,5007046.31991,67754,0
713805.222445,5006610.17107,67755,0
713877.881367,5006621.85508,67756,0
713961.714848,5006631.4941,67759,0
714060.463754,5006665.97613,67760,0
714234.257892,5006695.7406,67761,0
713598.830897,5007345.63251,67780,0
713767.293978,5007035.86714,67785,0
713786.485514,5006986.42519,67786,0
713901.109222,5006629.26682,67792,0
713133.911502,5006989.35357,67818,0
713342.103167,5007066.99613,67821,0
713462.385716,5007063.05551,67822,0
714333.284117,5006781.76848,67832,0
714227.446539,5006771.51896,67842,0
714214.199835,5006765.6397,67843,0
713859.44152,5007078.51758,67861,0
713690.555501,5007173.71055,67895,0
713565.093424,5007192.91563,67896,0
714121.351632,5007099.04475,67901,0
714173.470723,5006819.01192,67902,0
713060.271312,5007082.15547,67934,0
713575.983096,5007242.93393,67936,0
713584.817289,5007276.40185,67937,0
714131.34378,5006907.94811,67939,0
714336.160966,5006813.00652,67946,0
713887.759254,5007188.23623,67967,0
713506.367225,5006579.26276,68006,0
713572.032534,5007381.54811,68008,0
713560.947372,5007332.00058,68009,0
714088.263797,5006886.93256,68030,0
713574.944071,5006704.53143,68031,0
713527.982644,5006702.31584,68032,0
713838.598984,5006864.47729,68042,0
713757.933607,5006779.888,68043,0
713863.033633,5007284.21921,68075,0
713541.662297,5007233.6789,68076,0
713437.074682,5007263.25872,68077,0
713399.450177,5007451.87226,68078,0
713120.90106,5006557.39927,68085,0
713186.87381,5007183.65303,68086,0
713202.061162,5007184.96114,68087,0
713095.892772,5007418.48079,68100,0
713550.628976,5007280.61395,68128,0
713640.787353,5006908.54153,68129,0
713717.29565,5007343.11802,68130,0
713385.205715,5006756.82003,68140,0
713910.50747,5006730.12783,68141,0
714028.305605,5007478.5469,68142,0
714137.83721,5006735.99251,68143,0
714133.393327,5006727.08874,68144,0
713245.51159,5007316.3316,68167,0
713218.161366,5007256.35231,68168,0
713328.636443,5007526.98377,68184,0
714223.270297,5006639.02965,68190,0
714229.252942,5006671.48469,68191,0
713197.217574,5007141.62327,68201,0
713590.260374,5006609.3616,68202,0
713530.087139,5006598.96816,68203,0
713693.459703,5007002.62606,68220,0
713237.660711,5006627.13014,68221,0
713275.558128,5006712.78535,68223,0
713291.44896,5007187.81916,68254,0
713426.923111,5007158.38864,68255,0
713086.250812,5007344.43249,68262,0
713338.408906,5007456.66534,68297,0
713257.29995,5006695.82459,68309,0
713475.018426,5007363.45027,68315,0
713501.432747,5006984.88966,68316,0
713497.690278,5006975.53503,68317,0
713522.216383,5006779.18407,68342,0
713318.331899,5007440.61819,68387,0
714109.972084,5006729.0813,68406,0
713260.747053,5007357.29448,68417,0
713643.161011,5006717.10881,68476,0
713611.751214,5007256.78264,68494,0
713639.284744,5007233.24274,68495,0
713748.03659,5006628.95118,68496,0
713807.088588,5006740.46258,68498,0
713781.12191,5006758.68043,68499,0
713872.88247,5006800.94343,68500,0
713245.717832,5006966.71269,68506,0
713437.896788,5007000.96077,68525,0
713482.98852,5007004.96381,68526,0
713534.507765,5007507.33094,68527,0
713341.402824,5007125.24487,68528,0
713556.098212,5007226.41675,68557,0
713550.314099,5007193.80477,68558,0
713239.621409,5007454.15543,68572,0
713287.081889,5007449.68342,68573,0
713932.684334,5006660.44147,68574,0
713443.824303,5007194.61247,68585,0
713532.043853,5007194.08512,68586,0
713693.198845,5006963.69152,68587,0
713631.905467,5006879.00882,68588,0
713144.403268,5006709.52223,68608,0
713841.252855,5006641.03661,68612,0
713914.494685,5006630.0659,68613,0
713337.27844,5007403.17679,68625,0
714025.144374,5007428.65218,68636,0
713992.384173,5007427.49309,68637,0
713191.007829,5006653.78595,68664,0
713415.655548,5007428.12471,68665,0
713166.029491,5006985.1265,68692,0
713171.607515,5007038.37965,68693,0
713874.645392,5007351.97857,68698,0
713626.043731,5007136.03832,68710,0
713466.564539,5006813.91417,68729,0
713457.8393,5006809.36636,68730,0
713437.86815,5007130.67801,68737,0
713784.910131,5007058.54488,68767,0
713745.310444,5007088.08047,68774,0
713866.627188,5007032.33698,68785,0
713535.584242,5007036.08065,68787,0
713452.271548,5006784.3036,68876,0
713711.935377,5007214.6387,68896,0
713858.71625,5006720.14674,68908,0
713719.452498,5007234.83243,68924,0
713695.725743,5007187.14814,68954,0
713951.635788,5007012.96756,68972,0
713216.816953,5007073.32848,68973,0
713208.175251,5007073.03788,68974,0
713820.69269,5007008.02754,68975,0
713723.043424,5007244.96296,68977,0
713761.455243,5006922.65347,69008,0
713833.792646,5006876.12158,69011,0
713590.209602,5006588.75912,69040,0
713609.028284,5006590.50515,69041,0
714114.729261,5006624.34477,69050,0
713251.14339,5007184.65072,69067,0
713899.042039,5007325.83235,69078,0
713964.42609,5007404.42471,69088,0
713251.118241,5006988.84579,69093,0
713373.328471,5007380.75444,69111,0
713671.766545,5006943.45969,69124,0
713364.406374,5007408.60513,69145,0
713886.915713,5006780.54356,69150,0
713340.73455,5007154.57769,69183,0
713276.600265,5007495.73355,69189,0
713646.740184,5006615.13099,69199,0
713510.311811,5007028.15289,69203,0
714291.100484,5006764.78807,69226,0
714253.914906,5006841.37166,69238,0
713226.796615,5007452.81889,69313,0
713483.194673,5006818.56849,69315,0
713929.954046,5006636.91284,69324,0
713947.973257,5006641.80527,69325,0
713503.452228,5007296.5091,69416,0
713188.150093,5007201.70946,69418,0
713190.849294,5007257.16589,69419,0
713459.470047,5006879.31272,69431,0
713367.35993,5007320.84379,69433,0
713268.613698,5007070.75135,69435,0
713185.317877,5007074.49363,69439,0
713172.559881,5007073.81339,69440,0
714088.785228,5006686.29123,69450,0
713226.415981,5007074.70182,69456,0
713340.204331,5007450.05279,69465,0
713972.753366,5006650.59068,69488,0
713494.325392,5006957.93039,69503,0
713486.510539,5006911.03789,69504,0
713494.080594,5006888.82596,69505,0
713504.424338,5006940.64987,69506,0
713481.527176,5006892.96169,69507,0
713561.864416,5007244.95833,69563,0
714267.638524,5006932.33511,69574,0
713226.305663,5007099.63977,69607,0
713081.540962,5006534.94564,69639,0
713101.145519,5006536.71655,69640,0
713532.256986,5006581.24664,69662,0
713830.624374,5007389.83553,69663,0
713850.900711,5007371.6126,69664,0
713231.41846,5007128.34604,69703,0
713492.640203,5006986.96389,69708,0
713274.21756,5006548.35263,69715,0
713533.507721,5007109.11994,69739,0
713525.249926,5007144.96976,69740,0
713654.484905,5006595.37299,69768,0
713609.926055,5006610.55432,69770,0
714061.604799,5006698.0761,69777,0
713963.707416,5006671.83344,69778,0
713259.783644,5007034.79394,69779,0
713253.563913,5007337.03398,69801,0
713583.654431,5007437.11876,69802,0
713109.90164,5006557.02962,69812,0
713201.224852,5007201.11608,69842,0
713430.661237,5006548.77894,69858,0
713510.482807,5006597.19591,69859,0
713210.156245,5007037.51542,69861,0
713408.511059,5007446.75295,69912,0
713464.278863,5006874.74236,69945,0
714347.710449,5006850.37327,69974,0
713587.418975,5007383.70675,70021,0
713506.44456,5006950.72735,70056,0
713982.13723,5007432.47361,70059,0
713748.503236,5006606.32648,70105,0
713833.878982,5006616.98994,70106,0
713845.626547,5006618.49825,70107,0
714068.426388,5006680.34141,70108,0
713841.492302,5007020.96281,70124,0
713491.481445,5007301.6668,70167,0
713642.095797,5006963.08163,70214,0
713399.893091,5007443.73945,70225,0
713516.584863,5006992.2371,70231,0
713519.837687,5007020.13241,70232,0
713825.976324,5006638.43293,70294,0
713759.403546,5006636.45208,70295,0
713284.475362,5007460.94979,70298,0
713380.907068,5007446.34264,70306,0
713389.91916,5007445.05298,70307,0
713666.52401,5007008.39131,70334,0
713438.815564,5006685.4326,70351,0
713156.068113,5006540.78672,70352,0
714262.605271,5006836.79866,70412,0
713138.783262,5006540.20576,70453,0
713151.354063,5006540.62827,70454,0
713255.067346,5007001.09856,70478,0
714201.22046,5006767.60956,70498,0
713317.509306,5007461.70962,70507,0
713113.830004,5006557.16163,70553,0
713195.568148,5007073.72612,70580,0
713535.611668,5006870.53096,70588,0
713433.832993,5007145.13535,70615,0
713599.027509,5007435.71428,70617,0
714319.760702,5006925.89367,70666,0
713802.63864,5006633.73123,70718,0
713507.417442,5007015.26552,70720,0
714180.9641,5006936.77423,70728,0
