XData,YData,OriginIntersection,DestinationIntersection,ID,MaxSpeed,Lanes,Length
0.229883136550408,0.851551637053992,67018,67019,404,20.1,1,67.2
0.247473667567744,0.877483131711451,67018,68387,1786,18,1,16.88
0.218097180848363,0.815716793665062,67019,68417,1826,20.1,1,18.62
0.311364939502484,0.263695418794234,67020,67021,405,20.7,1,49.27
0.333696453886133,0.262452609262765,67020,70351,6422,20.7,1,4.53
0.286871012458781,0.243198449105409,67021,67210,6051,20.1,1,36.35
0.25876996959128,0.270976059130191,67021,68223,1609,20.7,1,90.51
0.533376015949983,0.518389166554005,67026,67027,409,19.5836811065674,1,22.21
0.548160928446711,0.535208664134146,67026,67785,2045,21.884937286377,1,29.73
0.533376015949983,0.518389166554005,67027,67026,410,21.884937286377,1,21.94
0.516850559180321,0.51453011676246,67027,68220,1606,20.1,1,26.97
0.516762998157875,0.498621469945756,67027,68587,2047,19.5836811065674,1,40.11
0.101508070292091,0.191252979827004,67042,67282,616,20.1,1,85.58
0.0700959534378953,0.152204527297933,67042,197808,421,25.8514652252197,2,50.95
0.0931486947562624,0.712118302271515,67044,67045,422,24,1,154.26
0.101483270320358,0.648364935030902,67044,67472,783,26,1,32.67
0.0612345643496689,0.62981342358864,67044,197863,3128,27,1,63.13
0.0988021826811241,0.788298408275672,67045,68262,4165,20.1,1,16.12
0.0703188473920707,0.776353702915591,67045,197862,1578,24,1,55.97
0.133023346207304,0.77809943347395,67046,67045,423,20.1,1,92.22
0.169108066337143,0.802783803785499,67046,67623,4013,6.7,1,55.2
0.186893250094569,0.775410425668524,67046,68167,5698,20.1,1,50.55
0.271768022022656,0.54124498311951,67051,67052,428,22,1,79.7
0.250597448279757,0.51399207657923,67051,70478,5201,20.1,1,107.98
0.241823943124153,0.592326786744071,67052,67131,1366,20.1,1,54.26
0.262930997883687,0.570697684962505,67052,67821,3927,20.1,1,15.59
0.238263120938919,0.57223206725377,67052,69435,4163,22,1,41.73
0.357812538089641,0.300349386368913,67055,67056,431,20.7,1,67.9
0.364323250834224,0.268139093237019,67055,67749,1057,20.7,1,35.29
0.358185658787999,0.317755098053789,67055,69315,6678,20.4665279388428,1,111.24
0.366569850743098,0.346186798788431,67056,67137,492,20.7,1,27.88
0.37841955603072,0.333857347646692,67056,68342,5454,20.1,1,34.16
0.402989872478794,0.455841597871126,67057,67058,432,22.6694564819336,1,79.91
0.39022626727128,0.499006571208746,67058,70231,5811,22.6694564819336,1,16.08
0.456018744719781,0.518004980554395,67061,67062,434,18.7489547729492,1,24.93
0.441506329812925,0.533823829384501,67061,67171,517,20.1,1,51.05
0.464523848411138,0.541584182276662,67061,67754,1063,13,1,28.53
0.4327650670038,0.464631512038589,67062,67057,975,18,1,115.71
0.454533781168566,0.503297282215495,67062,70858,6102,18.7489547729492,1,8.07
0.570765005875027,0.83716846505233,67067,67068,437,18.7489547729492,1,44.22
0.588243603200373,0.844702449547067,67067,69663,5262,20.1,1,37.07
0.556928172098686,0.800236130665161,67068,67176,1214,18.7489547729492,1,43.71
0.604250373913889,0.478832280986279,67069,67070,438,19,1,74.16
0.578211840936102,0.466894677091075,67069,67484,3699,21.9790802001953,1,5.74
0.565881820183215,0.457412451784796,67069,69008,4924,25,1,33.38
0.590162988355895,0.438399528973053,67069,69011,2693,17.8329849243164,1,62.16
0.604250373913889,0.478832280986279,67070,67069,439,25,1,74.52
0.626170508449262,0.518650233249963,67070,68785,2823,17.824634552002,1,49.22
0.654704959882635,0.510735891335778,67070,68972,5313,19,1,77.25
0.651266226612508,0.75177113933986,67071,67072,440,20.1,1,36.56
0.630767733009293,0.74251678199223,67071,68075,1735,20.1,1,23.51
0.68087137536145,0.791037105907945,67072,67264,2901,20.1,1,73.18
0.672501129970833,0.753388418366961,67072,67395,4839,20.1,1,37.09
0.803230921369657,0.57385758365358,67082,67083,449,20.8493728637695,1,41.21
0.822922288224093,0.525295284276897,67082,67272,607,23.2133884429932,1,90.49
0.803230921369657,0.57385758365358,67083,67082,450,23.2133884429932,1,41.27
0.795619202396106,0.592955638241988,67083,67901,1223,20.8493728637695,1,4.47
0.842853398096464,0.295455242860346,67084,67085,451,21.2154808044434,2,95.58
0.840111001159659,0.272549769156609,67084,67761,1072,17.6799163818359,1,78.47
0.884942445040113,0.318722172154844,67085,67242,914,21.2154808044434,2,25.73
0.872648805724564,0.289886088330256,67085,67761,4170,23,1,48.49
0.938181808731938,0.423860733549739,67088,67089,454,20.1,1,58.29
0.944549329609232,0.396968988408379,67088,69974,6036,20.1,1,6.48
0.938181808731938,0.423860733549739,67089,67088,455,20.1,1,58.14
0.930321334122649,0.451095751589042,67089,70666,8140,20.1,1,13.22
